# mode<TAB>expectation<TAB>origin; <EMPTY> represents the empty string.
production	valid	https://community.example
production	valid	https://community.example:8443
production	valid	https://xn--bcher-kva.example
production	invalid	<EMPTY>
production	invalid	HTTPS://community.example
production	invalid	https://COMMUNITY.example
production	invalid	https://bücher.example
production	invalid	http://community.example
production	invalid	https://community
production	invalid	https://localhost
production	invalid	https://member.localhost
production	invalid	https://127.0.0.1
production	invalid	https://127.0.0.2
production	invalid	https://127.1
production	invalid	https://2130706433
production	invalid	https://0x7f000001
production	invalid	https://0x7f.0.0.1
production	invalid	https://[::1]
production	invalid	https://[2001:db8::1]
production	invalid	https://user:secret@community.example
production	invalid	https://community.example/
production	invalid	https://community.example/rank
production	invalid	https://community.example?code=secret
production	invalid	https://community.example#secret
production	invalid	https://community%2eexample
production	invalid	https://community.example:443
production	invalid	https://community.example:0443
production	invalid	https://community.example:0
production	invalid	https://community.example:65536
production	invalid	https://bad_host.example
production	invalid	https://community&invalid.example
production	invalid	https://-bad.example
production	invalid	https://bad-.example
production	invalid	https://bad..example
testing	valid	https://community.example
testing	valid	http://127.0.0.1:4311
testing	valid	http://[::1]:4311
testing	invalid	http://localhost:4311
testing	invalid	http://127.0.0.2:4311
testing	invalid	http://127.1:4311
testing	invalid	http://2130706433:4311
testing	invalid	http://0x7f000001:4311
testing	invalid	https://127.0.0.1:4311
testing	invalid	http://127.0.0.1
testing	invalid	http://127.0.0.1:80
testing	invalid	http://127.0.0.1:04311
testing	invalid	http://[::1]
testing	invalid	http://[::1]:80
testing	invalid	http://[::1]:4311/private
testing	invalid	http://community.example:4311
